strategy_name,initial_burn_rate,team_size_total,run,survived,survival_time,market_fit,market_share,peak_market_share,growth_rate,feature_completeness,technical_debt,bug_count,code_quality,brand_awareness,revenue,cash_runway,runway_used,runway_efficiency,funding_rounds,pivots_used,time_to_profitability,burn_multiple
Ultra Conservative,5.0,10,1,False,18,58.24086043247685,0.0,0.0,0.0,19.113844186123057,21.984968102863576,8.988406060811032,70.25825901265267,68.45104578470526,6.2557513193433305,-3.40187991080676,103.40187991080676,0.0,0,0,0,1.0926929863316661
Ultra Conservative,5.0,10,2,False,20,57.72705066457965,0.0,0.0,0.0,20.31607407577547,21.770548992955455,9.022227786376225,70.24583943872247,85.18495781546774,4.01819225686019,-0.9670007083708123,100.96700070837082,0.0,0,0,0,1.02014807034769
Ultra Conservative,5.0,10,3,False,26,61.75774239157048,0.0,0.0,0.0,22.710000092288137,23.953419061748402,10.207256302530325,69.44579602726917,80.52259133952616,8.212676660163257,-1.5539793347287034,101.55397933472871,0.0,0,0,0,1.2325641846546773
Ultra Conservative,5.0,10,4,True,200,100.0,5.156790637778329,5.608511500062805,0.02623658210699022,102.96805779596606,22.9964390169545,0.0,49.35735033411706,99.99999942838672,86.42588447752995,4270.057726752109,101.55397933472871,0.05156790637778329,1,0,0,8.770057726752107
Ultra Conservative,5.0,10,5,False,19,58.1288761555863,0.0,0.0,0.0,19.480841072273773,22.65739079715159,9.388472465169878,70.08573343936177,73.14041971698158,5.804953803356432,-3.3493775355645417,103.34937753556454,0.0,0,0,0,0.9562701964324111
Ultra Conservative,5.0,10,6,False,17,55.27555303498617,0.0,0.0,0.0,19.060975215320507,20.576365286397387,8.34056255417049,70.62776321535604,73.42687744236365,5.637353352719227,-0.20937560557293544,100.20937560557293,0.0,0,0,0,1.0606267181377391
Ultra Conservative,5.0,10,7,False,19,57.53130792454035,0.0,0.0,0.0,19.231635181156907,23.552548987086304,9.83307806678257,69.9060174417794,76.89509226750219,5.599500342331848,-0.012460646595264357,100.01246064659526,0.0,0,0,0,0.9935583053797146
Ultra Conservative,5.0,10,8,True,200,100.0,4.659115614912135,5.555298159546722,0.023677365334780306,106.30840164915573,22.89983952328158,0.0,53.36752030429321,99.999998525453,70.54412536330845,4524.642082610759,100.01246064659526,0.046591156149121356,1,0,0,8.444642082610759
Ultra Conservative,5.0,10,9,False,20,58.3902977658988,0.0,0.0,0.0,19.668261933288438,24.107262051340154,10.170319732872182,69.79552233977594,70.73131042587661,3.805955797269508,-0.4355008781541647,100.43550087815416,0.0,0,0,0,1.0275854332457635
Ultra Conservative,5.0,10,10,True,200,100.0,4.805795851552406,5.6034915500006175,0.023931342825237602,107.70311306171506,21.948117984419554,0.0,54.925453867387056,99.99999378261028,88.49798804861072,3778.112248104419,100.43550087815416,0.04805795851552406,1,0,0,8.27811224810442
Ultra Conservative,5.0,10,11,False,17,57.00257234977689,0.0,0.0,0.0,17.66857325806607,26.96894623189072,11.598693535038723,69.61376319026144,71.85689713454296,4.872897392047785,-0.8607815618227912,100.86078156182279,0.0,0,0,0,0.8737214240721111
Ultra Conservative,5.0,10,12,False,23,58.32777797861626,0.0,0.0,0.0,21.959960626307694,22.109542613352094,9.36280909743926,70.1431091859555,85.58550612465895,4.2487000595580104,-2.4906576864910877,102.49065768649109,0.0,0,0,0,1.0544403674256602
Ultra Conservative,5.0,10,13,True,200,100.0,4.752316952286061,5.4161323842156275,0.024881066966614438,107.6557983961988,21.961061079279247,0.0,55.05739222687052,99.9999989086951,72.7080481484931,4060.786974853739,102.49065768649109,0.04752316952286061,0,0,0,8.360786974853742
Ultra Conservative,5.0,10,14,True,200,100.0,4.964280873201237,5.0604626088694875,0.022444946997219842,106.38197927700661,22.274144629100718,0.0,53.192191809834355,99.99999819378972,76.44624702154253,3594.802469875622,102.49065768649109,0.04964280873201237,1,0,0,8.394802469875623
Ultra Conservative,5.0,10,15,False,19,58.81258540991498,0.0,0.0,0.0,19.99438834927097,22.0833205803096,9.23235293699881,70.44053404651913,85.52666927144645,6.6554433149516825,-0.41032862779207235,100.41032862779207,0.0,0,0,0,1.1887813479711187
Ultra Conservative,5.0,10,16,False,20,57.21765884438528,0.0,0.0,0.0,19.6597216323371,24.493711497134896,10.40872888347354,69.76978040580403,62.66041946000378,3.6975481060876807,-1.4177578426815391,101.41775784268154,0.0,0,0,0,1.0188469405123082
Ultra Conservative,5.0,10,17,True,200,100.0,4.767755509337667,5.188408060771275,0.02228708470659472,107.11609172921959,22.070541506253196,0.0,54.06450428169871,99.99999962807281,74.9367430603482,3486.6594973429524,101.41775784268154,0.04767755509337667,1,0,0,8.326659497342954
Ultra Conservative,5.0,10,18,False,19,57.88153876296688,0.0,0.0,0.0,20.19315644249332,20.69517847267393,8.500079115696991,70.58432844479489,73.25514007207875,6.129755709475728,-0.7898108945189035,100.78981089451891,0.0,0,0,0,0.979794035747425
Ultra Conservative,5.0,10,19,False,20,58.931201147487265,0.0,0.0,0.0,19.538758006126862,23.79801092870105,9.903842871569935,69.69677927116834,85.29566656292633,4.086034443656992,-0.3077683431392533,100.30776834313926,0.0,0,0,0,1.0260619721320379
Ultra Conservative,5.0,10,20,False,22,58.62340699839002,0.0,0.0,0.0,21.614994199621215,21.37171833609416,8.954476366907935,70.31853488871677,73.85265290833976,4.282594750866475,-0.06358327987806778,100.06358327987807,0.0,0,0,0,1.060489290629595
Conservative,8.0,14,1,True,200,100.0,6.034377170196282,6.765209365997675,0.030389399672953267,112.51502060200579,21.063640127778452,0.0,59.117706809837415,99.99999969139155,86.41129436149292,8080.15533327599,100.06358327987807,0.06034377170196282,0,0,0,7.987597083297495
Conservative,8.0,14,2,True,200,100.0,5.032132776643383,6.267075653857811,0.027015546610620545,106.25745101515514,22.42111391535199,0.0,52.19458878070377,99.99998954191221,98.36514571992393,7947.139212306703,100.06358327987807,0.05032132776643383,0,0,0,7.616962007691688
Conservative,8.0,14,3,True,200,100.0,4.728386503326921,7.2180852778571785,0.02366889298100564,110.49629093349536,21.57581627707833,0.0,56.82713802164519,99.99999929463348,71.7868100869073,7574.968874395761,100.06358327987807,0.04728386503326921,0,0,19,7.209355546497352
Conservative,8.0,14,4,True,200,100.0,7.1843747004992755,7.1843747004992755,0.03233633024577708,110.42351978041107,21.769096537644227,0.0,56.64138648783878,99.99997645748606,119.1142992926354,7101.780790981151,100.06358327987807,0.07184374700499276,0,0,0,7.501112994363218
Conservative,8.0,14,5,True,200,100.0,3.7917313271975037,5.3913306409075625,0.023120279526644638,110.8693919847059,21.395352409284058,0.0,57.34807102163039,99.99999618679702,75.6146556211658,6357.628849733386,100.06358327987807,0.037917313271975034,0,0,0,6.886018031083365
Conservative,8.0,14,6,True,200,100.0,6.382011583815531,6.574037242716714,0.030266780631039554,109.84149161323174,21.59721447673016,0.0,56.23230214612685,99.9999984163059,113.75754586377815,7265.258228994679,100.06358327987807,0.06382011583815532,0,0,0,7.303286393121673
Conservative,8.0,14,7,True,200,100.0,6.641947709482126,6.641947709482126,0.028940851842601284,109.30916820605404,21.64695612447633,0.0,56.022478663618294,99.99998298069006,105.40729227063623,6798.4972309494115,100.06358327987807,0.06641947709482127,0,0,21,7.011560769343383
Conservative,8.0,14,8,True,200,100.0,6.337699674510775,7.181733004000229,0.032846356697005925,109.42427461518554,21.758558054440886,0.0,56.07335751215879,99.9999971247091,99.11885147536638,7786.0345763658925,100.06358327987807,0.06337699674510774,0,0,20,7.32877161022868
Conservative,8.0,14,9,True,200,100.0,5.550371374021623,6.640927829549999,0.025948154202759362,100.30050412846981,23.828407757740077,0.0,45.69998778392019,99.99999549100255,83.94219540066283,6745.537575392906,100.06358327987807,0.055503713740216225,0,0,0,6.678460984620566
Conservative,8.0,14,10,True,200,100.0,5.707212081982538,6.901994635672741,0.02733144537955208,108.91275386937816,21.95022510574678,0.0,55.281358337447685,99.99999950029746,88.71127467032203,7775.637771213034,100.06358327987807,0.057072120819825385,0,0,0,7.609773607008146
Conservative,8.0,14,11,True,200,100.0,4.73267785328448,6.465104879562595,0.023626523617654493,104.52613189260158,22.84141358375156,0.0,50.86494184090166,99.99999903788803,72.70348404695659,7003.467732906577,100.06358327987807,0.0473267785328448,0,0,0,7.0021673330666125
Conservative,8.0,14,12,True,200,100.0,5.462496976805365,6.470632112527763,0.02504026604842398,106.32123611575048,22.40656213459332,0.0,52.11848358225701,99.99998801829621,97.08641452539946,7013.253951080025,100.06358327987807,0.05462496976805365,0,0,0,6.845783719425015
Conservative,8.0,14,13,True,200,100.0,4.985931346913565,7.412548548562222,0.027223298116245395,112.32999112920466,21.170819196904954,0.0,58.81042624738273,99.99999606378347,79.52790944760007,7884.943167224452,100.06358327987807,0.049859313469135656,0,0,0,7.840589479515282
Conservative,8.0,14,14,True,200,100.0,5.241717627744287,6.089861850327937,0.02759162623854592,110.56968122709972,21.63836289198107,0.0,56.975704044616336,99.99999671421426,80.88179281701852,6467.106336536222,100.06358327987807,0.05241717627744287,0,0,18,6.729441460335138
Conservative,8.0,14,15,True,200,100.0,5.335686522075465,7.039217429411267,0.025629008497429127,110.9858827424712,21.282046730781683,0.0,57.89902289023902,99.99999696593673,97.1251209774435,7438.322677284766,100.06358327987807,0.05335686522075465,0,0,0,7.411451673302979
Conservative,8.0,14,16,True,200,100.0,6.708315869385486,6.708315869385486,0.03064221116923485,108.17277328785909,22.807380488173738,0.0,54.80832182109033,99.99999712877401,105.66332571841137,9749.892486099166,100.06358327987807,0.06708315869385487,0,0,0,7.56868280381198
