capital_level,initial_runway,run,survived,survival_time,final_cash,market_fit,market_fit_achieved,time_to_pmf,time_to_profitability,market_share,feature_completeness,technical_debt,bug_count,code_quality,brand_awareness,revenue,funding_rounds,pivots_used,capital_spent,capital_efficiency
Bootstrapped,30,1,False,3,0.0,100.0,True,15,16,9.244466305890993,115.01896600949839,20.908827904142857,0,60.15342118262371,99.99999999998649,151.89733804138527,0,0,30.0,0.3081488768630331
Bootstrapped,30,2,False,5,0.0,100.0,True,14,1,6.631640907331037,114.3369400235444,21.053470043269535,0,59.50703493076093,99.99999999918177,94.92227960960199,0,0,30.0,0.22105469691103458
Bootstrapped,30,3,False,4,0.0,100.0,True,15,1,6.546551063034149,97.78950506767237,24.779387578128468,0,40.89859324405704,99.99999999927178,109.59447949785483,0,0,30.0,0.21821836876780495
Bootstrapped,30,4,False,3,0.0,100.0,True,16,17,6.164901715337607,114.18200987831294,21.003862350480578,0,59.598524369657916,99.9999999994371,106.87993807892994,0,0,30.0,0.20549672384458692
Bootstrapped,30,5,False,4,0.0,100.0,True,17,1,8.701427953211413,112.34201534757972,21.412560175661877,0,57.66004270849141,99.99999999994019,142.46220134094477,0,0,30.0,0.2900475984403804
Bootstrapped,30,6,False,4,0.0,100.0,True,14,1,6.478206249911391,116.70114326238964,20.736789995602724,0,61.97501974921195,99.99999999998332,103.4896254683344,0,0,30.0,0.21594020833037972
Bootstrapped,30,7,False,3,0.0,100.0,True,17,17,8.37462224054975,114.70707397161246,20.877540204383163,0,60.3615372820312,99.99999999984534,136.98807397242498,0,0,30.0,0.27915407468499165
Bootstrapped,30,8,False,4,0.0,100.0,True,15,18,7.796910900045016,105.99452634094322,22.969364886256297,0,50.62262635022565,99.99999999983402,137.66011010175112,0,0,30.0,0.25989703000150055
Bootstrapped,30,9,False,3,0.0,100.0,True,15,17,7.121976327052726,112.12645855178341,21.936693709557463,0,57.39831150608529,99.99999999755802,110.31292106626503,0,0,30.0,0.23739921090175756
Bootstrapped,30,10,False,4,0.0,100.0,True,16,1,7.812303819553071,113.74290032227071,21.26207395632856,0,59.104401608679034,99.99999999997385,142.09964163721529,0,0,30.0,0.2604101273184357
Bootstrapped,30,11,False,4,0.0,100.0,True,18,1,9.154886726147497,109.50566366744195,22.59509854787102,0,54.886309101126145,99.99999999987378,147.43901474154822,0,0,30.0,0.3051628908715832
Bootstrapped,30,12,False,4,0.0,100.0,True,16,16,7.1051595609594935,115.49116418172207,21.435814501996212,0,60.89426140049854,99.99999999994472,109.19095429061372,0,0,30.0,0.23683865203198312
Bootstrapped,30,13,False,4,0.0,100.0,True,18,1,7.076740166846218,115.71615619378672,20.67213470306387,0,61.43733097141916,99.99999999986018,113.41562255866195,0,0,30.0,0.23589133889487393
Bootstrapped,30,14,False,4,0.0,100.0,True,19,1,5.6087160510734195,114.02210274668084,20.971862892081997,0,59.73905072975874,99.9999999989139,83.38395784328277,0,0,30.0,0.1869572017024473
Bootstrapped,30,15,False,3,0.0,100.0,True,15,16,8.079846280850798,116.13958804671067,20.669154739672365,0,61.753369766033614,99.99999999995157,131.44628058219288,0,0,30.0,0.26932820936169327
Bootstrapped,30,16,False,4,0.0,100.0,True,14,1,9.173508815274875,111.43475658110495,21.705325010112706,0,56.63973276266545,99.99999999993689,149.39905297691308,0,0,30.0,0.3057836271758292
Bootstrapped,30,17,False,4,0.0,100.0,True,15,1,7.864242777957346,113.44391739009717,21.18427503552449,0,58.66495194088653,99.99999999986693,140.95763569990027,0,0,30.0,0.26214142593191153
Bootstrapped,30,18,False,3,0.0,100.0,True,14,16,6.300485578228031,112.59104574340738,21.446750129963235,0,57.72295232359598,99.99999999998765,99.89912753673248,0,0,30.0,0.21001618594093435
Bootstrapped,30,19,False,4,0.0,100.0,True,14,1,7.420399355021882,116.49370554277995,20.62136890062042,0,61.91735853454105,99.99999999995457,116.02357349860395,0,0,30.0,0.24734664516739607
Bootstrapped,30,20,False,3,0.0,100.0,True,14,12,6.082938356204894,115.40019427745983,20.82820716014201,0,60.593428554568405,99.99999999996011,100.02433827867196,0,0,30.0,0.20276461187349648
Seed Stage,50,1,False,7,0.0,100.0,True,15,1,8.269539910092583,113.33456852956829,21.224039703186477,0,58.49127952569772,99.9999999999634,146.83644874645918,0,0,50.0,0.16539079820185165
Seed Stage,50,2,False,7,0.0,100.0,True,16,1,6.481488273968439,114.74448498465539,20.918536611717045,0,60.1276254909785,99.99999999964801,124.24829003260972,0,0,50.0,0.12962976547936877
Seed Stage,50,3,False,6,0.0,100.0,True,15,1,9.23019345049543,115.98958098046039,20.700121412810653,0,61.3462547272594,99.99999999888793,152.55642422596387,0,0,50.0,0.18460386900990858
Seed Stage,50,4,False,6,0.0,100.0,True,14,1,7.3158827405390605,113.81690708137482,21.179770191108542,0,58.94866438930412,99.99999999988835,117.45200510794183,0,0,50.0,0.1463176548107812
Seed Stage,50,5,False,6,0.0,100.0,True,16,1,7.188009444190216,113.00268269933832,21.23391827944732,0,58.3113979363027,99.99999999996713,114.96654064102482,0,0,50.0,0.14376018888380432
Seed Stage,50,6,False,6,0.0,100.0,True,14,1,7.272211638553585,113.65675089220697,21.125556059816635,0,58.94191332069653,99.99999999996932,125.42614244499642,0,0,50.0,0.14544423277107169
Seed Stage,50,7,False,6,0.0,100.0,True,16,1,5.663413586614225,113.51904146845706,21.16705670721572,0,58.81155823048034,99.99999999985573,82.87150291718183,0,0,50.0,0.1132682717322845
