,survived,survived,survival_time,survival_time,final_cash,final_cash,market_fit_achieved,market_fit_achieved,time_to_pmf,time_to_pmf,market_share,market_share,market_share,revenue,revenue,revenue,feature_completeness,feature_completeness,technical_debt,technical_debt,capital_spent,capital_spent,capital_efficiency,capital_efficiency,capital_efficiency
,mean,sum,mean,std,mean,std,mean,sum,mean,std,mean,std,max,mean,std,max,mean,std,mean,std,mean,std,mean,std,max
capital_level,,,,,,,,,,,,,,,,,,,,,,,,,
Bootstrapped,0.0,0,3.7,0.5712405705774792,0.0,0.0,1.0,20,15.55,1.5381123085406379,7.43699655752408,1.1089073602525907,9.244466305890993,121.37430834109145,20.971247521084113,151.89733804138527,112.85899165733994,4.371776186416829,21.453528121242993,1.0030500745967152,30.0,0.0,0.24789988525080267,0.03696357867508635,0.3081488768630331
Seed Stage,0.0,0,5.9,0.718184846459608,0.0,0.0,1.0,20,15.0,1.3377121081198773,7.0397772399969325,1.0935421556177638,9.23019345049543,120.07384499384993,17.21056887124937,152.55642422596387,113.78793199674267,1.9419144571792601,21.147085984153705,0.3923090658053201,50.0,0.0,0.14079554479993867,0.02187084311235527,0.18460386900990858
Series A High,0.0,0,16.05,1.8488972531299785,0.0,0.0,1.0,20,15.0,1.2565617248750862,6.913154581440236,1.2273033390613786,9.157517201667119,111.2752686133991,20.890699999224207,150.50623410632284,112.17216248759419,4.488953196312363,21.528907884138555,1.05991252157553,150.0,0.0,0.04608769720960157,0.008182022260409193,0.06105011467778079
Series A Low,0.0,0,8.1,0.9119095061289914,0.0,0.0,1.0,20,15.35,1.694418080515829,6.920311430660256,1.1959201043962366,8.38883564921154,116.16853785241781,18.845483971270628,144.3185524096278,111.96483732174104,4.14062040791802,21.606490894080984,1.0526104065448665,75.0,0.0,0.09227081907547006,0.015945601391949824,0.1118511419894872
Series A Standard,0.0,0,10.2,1.105012502906165,0.0,0.0,1.0,20,15.7,1.6575187543592473,6.914403221814919,0.9127263455195485,8.558738988288587,119.21779605759662,17.78949925749812,146.66700252961235,113.08022278336432,1.6333230432120909,21.266358345407763,0.2964213089129825,100.0,0.0,0.0691440322181492,0.009127263455195489,0.08558738988288588
Series B,0.55,11,120.2,90.5367619431902,6238.208492202457,5802.832937481245,1.0,20,15.3,1.0809352675491624,7.0033519179017585,1.0052606329168718,9.088631854475,116.5083014741032,17.77852413640176,152.17376961484888,113.60636223014778,1.8445528222094738,21.16607633860055,0.371834092556536,-6038.208492202457,5802.832937481245,0.014889313909032632,0.01715264416782173,0.04135774795512073
Well Funded,1.0,20,200.0,0.0,11237.908886346206,563.9529125336522,1.0,20,15.25,1.2513150976809202,6.8749027600713575,0.9034576226622694,8.437916443475654,116.83673888649602,17.010730026406485,147.9518106552708,113.55832563444253,2.852336382740664,21.23205330461619,0.5838263674835669,-10937.908886346206,563.9529125336522,0.0,0.0,0.0
