config_name,run,focus_strategy,survived,game_over_step,final_market_fit,final_market_share,peak_market_fit,peak_market_share,peak_revenue,pmf_achieved,time_to_pmf,final_technical_debt,final_bug_count,final_code_quality,final_feature_completeness,avg_technical_debt,avg_bug_count,avg_code_quality,avg_team_morale,avg_customer_satisfaction,final_cash_runway,avg_revenue,growth_rate,quality_speed_balance,sustainability_score,technical_health,business_performance
Always Engineering,1,engineering,True,,100.0,7.795854710526328,100.0,8.195605140929397,130.83381631126878,True,28.0,20.41800584144244,0.0,61.39913168272183,129.0750106130031,24.945420877583274,3.0639911492354024,63.71171373530249,87.82115690641547,93.82404690705758,8930.168719439136,67.65084359719569,0.04331030394736849,0.44255720250679315,76.19587808848125,7420.046222927069,6327.8242056371755
Always Engineering,2,engineering,True,,100.0,7.635221236559796,100.0,8.29653178250928,133.72610740031666,True,31.0,20.05060877211979,0.0,63.50304695000231,131.3410380407964,24.187943507188596,2.936571726598795,64.95067717450922,86.3727761592549,93.90332906177393,9812.814513318632,71.06407256659315,0.04241789575866554,0.459937595774121,76.40190793267824,7506.734753678868,6331.861271300371
Always Engineering,3,engineering,True,,100.0,6.185070129884161,100.0,7.383333783012127,126.63979236514095,True,32.0,20.81958142141609,0.0,59.108855018595925,126.5431145518121,25.775402278890752,3.211084114590593,62.29691089113298,85.28776837298413,93.6986321105743,7159.744228372785,58.798721141863936,0.03436150072157867,0.42368226201478115,75.82120339027237,7322.147013001594,6295.333351320485
Always Engineering,4,engineering,True,,100.0,7.513600173755627,100.0,7.629801608442603,131.77412571476168,True,28.0,20.204070877753875,0.0,62.55757921375207,130.5066481807384,24.5500218985865,2.8845983773041017,64.37239726685934,87.46896527453377,94.1952629973769,9350.909144373132,69.75454572186564,0.04174222318753126,0.4522924814000841,76.18181991171743,7475.26192611517,6305.192064337704
Always Engineering,5,engineering,True,,100.0,7.384297791348983,100.0,8.318920518681644,142.69001743499336,True,31.0,20.851266328352747,0.0,59.08728020411635,126.45034877281194,25.788834696261894,3.219506815072128,62.36480958240742,85.83386863615777,93.68260860438592,9309.445788098392,69.54722894049199,0.04102387661860546,0.42343963850518773,76.01850554109744,7323.690934337786,6332.756820747266
Always Engineering,6,engineering,True,,100.0,7.596418464879708,100.0,7.954411999363976,129.9881421935062,True,27.0,20.632812597626973,0.0,60.107472360413,127.89541524520456,25.444031314484636,2.9974450249427607,62.89707175761051,86.31401951671108,94.20114034097925,8488.600454885122,65.44300227442562,0.04220232480488727,0.4321342473204578,76.02544316351437,7375.554688885561,6318.17647997456
Always Engineering,7,engineering,True,,100.0,7.396423530246887,100.0,9.344375831406802,151.13389491146563,True,29.0,20.469747656244156,0.0,61.10269877775371,128.78071443274078,25.0648263481479,3.0404944200203845,63.509734986168276,86.96562816342997,93.91887213056691,10773.19354309885,76.86596771549425,0.041091241834704924,0.4401397112286417,76.3953354142066,7409.745942259856,6373.775033256272
Always Engineering,8,engineering,True,,100.0,8.621111399366757,100.0,9.200839778339901,150.60695666410354,True,28.0,20.662509325511706,0.0,60.16622663832052,127.92643036958015,25.423072212529615,3.0015339757967086,62.93105355803973,87.77363342431784,94.18112709731304,10505.694683518817,74.92847341759409,0.047895063329815316,0.4325861304956191,76.27982598937393,7377.306783566661,6368.033591133596
Always Engineering,9,engineering,True,,100.0,7.59203530765863,100.0,8.224244302221404,135.3729896995443,True,30.0,20.296201149421684,0.0,62.07326091166316,129.8126012346312,24.710082983538925,2.9985721668051895,64.08724915034165,86.29495242501253,93.91558092963975,9833.980139852087,71.16990069926044,0.04217797393143684,0.44812718412012115,76.25793623299553,7448.756047689372,6328.969772088856
Always Engineering,10,engineering,True,,100.0,8.74493732822802,100.0,8.74493732822802,146.1918791644458,True,30.0,20.37606023429689,0.0,61.615396281660196,129.29497635064698,24.87266394827312,3.037815270613838,63.8078186191249,86.87744434452183,93.85769838196326,9079.706946677932,68.39853473338967,0.04858298515682233,0.44432707302924107,76.32016025851433,7428.618234024285,6349.797493129121
Always Engineering,11,engineering,True,,100.0,5.91416718491004,100.0,8.005218567916197,129.88917619616834,True,29.0,20.568562944910877,0.0,60.512059207436884,128.19250100263582,25.278773769874316,3.064617449809,63.16123524949466,85.63406193664534,93.94203404401424,7853.414501609977,62.26707250804988,0.03285648436061133,0.4353265242349434,76.07522900100744,7386.307540550102,6320.208742716648
Always Engineering,12,engineering,True,,100.0,6.065033855023829,100.0,7.506331603005481,144.82231383228637,True,30.0,20.207212176665326,0.0,62.55923155370227,130.41449956134022,24.5417598361378,2.9290008815467354,64.36969238143591,87.49089425622324,94.05653999110787,8393.720394600992,65.96860197300497,0.03369463252791016,0.45221591922240056,76.15672017781648,7471.742694197053,6300.25326412022
