,survived,survived,survival_time,survival_time,market_share,market_share,market_share,growth_rate,growth_rate,runway_efficiency,runway_efficiency,revenue,revenue,revenue,cash_runway,cash_runway,funding_rounds,funding_rounds,funding_rounds,burn_multiple,burn_multiple,feature_completeness,feature_completeness,technical_debt,technical_debt
,mean,sum,mean,std,mean,std,max,mean,std,mean,std,mean,std,max,mean,std,mean,std,max,mean,std,mean,std,mean,std
strategy_name,,,,,,,,,,,,,,,,,,,,,,,,,
Aggressive,1.0,20,200.0,0.0,10.859072851583097,0.8775353689436556,13.186738679000088,0.053276613063522806,0.004923009907613885,0.10859072851583096,0.008775353689436553,191.22173660417997,20.25027994717395,237.31959119362196,21465.317280122537,1117.3484086236483,0.0,0.0,0,8.201105760040845,0.39290512739658406,115.7094486635303,2.9579024022731586,21.216444084672535,0.8901003481620288
Conservative,1.0,20,200.0,0.0,5.5939932160826915,0.8331058828235479,7.1843747004992755,0.027586037211588955,0.0027335402852439353,0.05593993216082691,0.008331058828235479,91.5876758052928,16.516170976788565,119.1142992926354,7361.124903775926,774.8098983251712,0.0,0.0,0,7.268828064859953,0.36583940390747277,108.48812743578728,3.63107161529662,22.043561880572625,0.8624975823056882
Extreme Growth,1.0,20,200.0,0.0,18.25020957602877,1.3229877968765158,20.351179740033945,0.0902324453880882,0.006475736186237689,0.1825020957602877,0.013229877968765132,352.64596708615096,29.860959891650353,400.555035303793,46346.20029383987,2376.271944110262,0.0,0.0,0,8.041033382306647,0.3960453240183769,120.71605713273644,1.287201637741227,20.448768193928235,0.3549398266853811
Moderate,1.0,20,200.0,0.0,6.751532901176544,1.091606644384975,8.533444082929396,0.03458642143930283,0.004778698908137508,0.06751532901176545,0.010916066443849749,112.33012689152584,20.154341800763845,148.57619700036153,11065.573297647745,1104.520821639436,0.0,0.0,0,7.602786648823873,0.4305133216750248,113.17702617696564,2.4693423052369385,21.256215625226996,0.5370444247575755
Ultra Conservative,0.3,6,73.95,84.68609219066796,1.455302771953392,2.282628819222153,5.156790637778329,0.007172919446871856,0.011267622117027424,0.014553027719533918,0.02282628819222153,27.143319671426053,34.56118010862968,88.49798804861072,1184.9395368341743,1870.3743409265523,0.25,0.44426165831931935,1,3.2580321136279764,3.475224964430255,45.91723130898556,40.618603548920134,22.713653783949404,1.4714402657631063
Very Aggressive,1.0,20,200.0,0.0,13.287140782326881,0.993107928073184,14.86843430674825,0.06528814113516415,0.004294886498466291,0.1328714078232688,0.009931079280731838,239.98223559299626,19.547779904357252,277.16087282987894,29754.26349503875,1569.0739278041026,0.0,0.0,0,7.913565873759689,0.39226848195102465,118.64934185782079,1.95356868992006,20.682032111672747,0.41900517518050506
