config_name,run,pivot_timing,pivot_occurred,pivot_step,adaptive_pivot,survived,game_over_step,final_market_fit,final_market_share,peak_market_fit,peak_market_share,pmf_achieved,time_to_pmf,pre_pivot_market_fit,post_pivot_market_fit,recovery_rate,final_technical_debt,final_bug_count,final_cash_runway,avg_revenue,sustainability_score
Never Pivot,1,,False,,False,True,,100.0,6.244223320470372,100.0,6.347172659203545,True,80.0,,,,23.054478853226186,0.0,5382.024586918521,44.8101229345926,81.26943453184072
Never Pivot,2,,False,,False,True,,100.0,5.254305895813549,100.0,6.847274856942379,True,61.0,,,,23.116474530969175,0.0,8378.737875202118,60.69368937601061,81.36945497138848
Never Pivot,3,,False,,False,True,,96.02134395295307,2.3435345011099877,96.02134395295307,2.3435345011099877,True,112.0,,,,28.450473244462245,0.09710268305071645,2174.5157882166477,24.59257894108324,79.27511008610793
Never Pivot,4,,False,,False,True,,100.0,7.754781144267527,100.0,7.754781144267527,True,65.0,,,,21.517461690656916,0.0,9146.233641554307,64.63116820777154,81.55095622885351
Never Pivot,5,,False,,False,True,,100.0,6.756232082308399,100.0,7.352352631943098,True,65.0,,,,22.059811857427523,0.0,8883.32903452295,60.016645172614766,81.47047052638862
Never Pivot,6,,False,,False,False,18.0,37.28086718464697,0.0,37.28086718464697,0.0,False,,,,,24.383104006489585,10.91402810020223,0.0,5.740522192193033,11.18426015539409
Never Pivot,7,,False,,False,True,,100.0,6.919103245829124,100.0,7.662820455182668,True,65.0,,,,22.40741081261139,0.0,8304.371266638806,62.121856333194025,81.53256409103653
Never Pivot,8,,False,,False,False,17.0,35.22637155831195,0.0,35.22637155831195,0.0,False,,,,,22.47896159940181,9.913853789697498,0.0,5.480216204123107,10.567911467493586
Never Pivot,9,,False,,False,False,22.0,37.44880697969708,0.0,37.44880697969708,0.0,False,,,,,25.125165941079754,11.570548277880055,0.0,6.070481926742787,11.234642093909123
Never Pivot,10,,False,,False,True,,100.0,5.133340391745933,100.0,5.727746732427448,True,83.0,,,,24.248125066889124,0.0,6364.122853229372,42.12061426614684,81.1455493464855
Never Pivot,11,,False,,False,True,,100.0,8.016438265683792,100.0,8.016438265683792,True,63.0,,,,22.16482631404759,0.0,8554.951801454226,63.27475900727113,81.60328765313676
Never Pivot,12,,False,,False,True,,95.22563021951412,1.9427838531519748,95.22563021951412,2.1130905931344333,True,107.0,,,,28.004490534493254,0.392271104502383,2238.1553840768715,25.91077692038436,78.99030718448113
Never Pivot,13,,False,,False,True,,100.0,7.918542083758201,100.0,8.101653199226348,True,63.0,,,,22.233076122093866,0.0,9696.494407402448,65.08247203701224,81.62033063984526
Never Pivot,14,,False,,False,False,17.0,36.17780272745697,0.0,36.17780272745697,0.0,False,,,,,26.180326125778066,11.850318020066082,0.0,5.406805334695715,10.853340818237092
Never Pivot,15,,False,,False,False,19.0,36.726396815664565,0.0,36.726396815664565,0.0,False,,,,,22.977051336452845,10.326695446656572,0.0,5.927349574568871,11.017919044699369
Never Pivot,16,,False,,False,True,,100.0,6.265321489623209,100.0,7.918033966175495,True,61.0,,,,23.955523167925094,0.0,8864.101331590704,60.92050665795353,81.5836067932351
Never Pivot,17,,False,,False,True,,100.0,6.357704650135698,100.0,6.357704650135698,True,83.0,,,,22.487132793377217,0.0,5643.390435711035,45.11695217855517,81.27154093002714
Never Pivot,18,,False,,False,False,23.0,39.41727748421929,0.0,39.41727748421929,0.0,False,,,,,24.423584997615976,11.266305533146326,0.0,6.140978631683535,11.825183245265787
Never Pivot,19,,False,,False,False,28.0,43.34723073852787,0.0,43.34723073852787,0.0,False,,,,,27.668623614536866,13.089660687508298,0.0,6.307777900357417,13.00416922155836
Never Pivot,20,,False,,False,True,,100.0,5.901930846897127,100.0,7.14689725385127,True,66.0,,,,23.512483815819664,0.0,8786.793951249192,56.63396975624597,81.42937945077026
Early Pivot,1,30,True,30.0,False,False,37.0,60.873391655031774,0.0,60.873391655031774,0.0,False,,45.97914999439926,,,12.373360501722951,4.349167837188151,0.0,6.629361501043832,18.262017496509532
Early Pivot,2,30,True,30.0,False,False,38.0,63.54380103324185,0.0,63.54380103324185,0.0,False,,43.780648926966705,,,12.63579086923504,4.587454403928501,0.0,6.734367595096264,19.063140309972557
Early Pivot,3,30,False,,False,False,23.0,39.168063870185655,0.0,39.168063870185655,0.0,False,,,,,29.262518678119328,13.769037265389347,0.0,6.130755781250451,11.750419161055696
Early Pivot,4,30,True,30.0,False,False,31.0,54.47812046211269,0.0,54.47812046211269,0.0,False,,46.54608823717898,,,10.376869119208935,2.3836237813953494,0.0,7.46376937367153,16.343436138633805
Early Pivot,5,30,True,30.0,False,True,,100.0,6.024786086418706,100.0,7.291196876307109,True,50.0,46.140605147928376,70.31579158423972,1.2087593218155672,19.554200531973066,0.0,8897.231087590131,66.33615543795064,81.45823937526143
Early Pivot,6,30,True,30.0,False,True,,100.0,6.617751186300687,100.0,6.683618286585325,True,51.0,45.95235784908443,69.65644299116991,1.185204257104274,19.676300452218452,0.0,9548.294705425862,67.34147352712931,81.33672365731707
Early Pivot,7,30,True,30.0,False,False,32.0,60.752644406023016,0.0,60.752644406023016,0.0,False,,46.11419544083328,,,10.723459479907811,2.7287935394829215,0.0,7.462882624606594,18.225793321806904
Early Pivot,8,30,True,30.0,False,False,32.0,55.470234192707856,0.0,55.470234192707856,0.0,False,,42.54264181706904,,,10.73973432138661,2.749462588160996,0.0,6.330591038006897,16.641070257812355
Early Pivot,9,30,True,30.0,False,True,,100.0,4.469097059844867,100.0,7.551946858294662,True,53.0,47.14627926989373,67.90172142597189,1.0377721078039077,19.515384517498983,0.0,10128.858794027661,71.24429397013832,81.51038937165893
Early Pivot,10,30,False,,False,False,21.0,37.67043835879947,0.0,37.67043835879947,0.0,False,,,,,22.67071744629979,10.325132286876519,0.0,6.084964578685427,11.301131507639843
Early Pivot,11,30,True,30.0,False,True,,100.0,8.042655761043761,100.0,8.042655761043761,True,52.0,43.35809437769959,68.88484632927668,1.276337597578855,19.505254201448718,0.0,9135.825518384452,65.47912759192225,81.60853115220876
Early Pivot,12,30,True,30.0,False,False,31.0,56.83597403707773,0.0,56.83597403707773,0.0,False,,47.54300497010972,,,10.373449422854842,2.3792807670256506,0.0,7.471414774940253,17.05079221112332
Early Pivot,13,30,True,30.0,False,False,38.0,59.88868879447353,0.0,59.88868879447353,0.0,False,,47.4791505180961,,,12.689703282767866,4.6559231691151854,0.0,6.718034044570743,17.96660663834206
Early Pivot,14,30,True,30.0,False,False,30.0,58.213038107504204,0.0,58.213038107504204,0.0,False,,44.130357355484506,,,10.0,2.0,0.0,6.349046251537883,17.46391143225126
