parameter,parameter_value,run_id,survived,game_over_step,final_market_fit,avg_market_fit,final_market_share,final_revenue,final_tech_debt,final_bugs,pivots_used,funding_rounds
base_turnover_rate,0.5,0,True,200,100.0,91.39185596486499,7.409955791962543,115.6987252233824,20.704762782975155,0.0,0,0
base_turnover_rate,0.5,1,True,200,100.0,91.76897587276265,9.224333756705967,152.2957955517996,20.80070191149931,0.0,0,0
base_turnover_rate,0.5,2,True,200,100.0,91.28003169352561,8.452024470056223,139.3035916378148,20.956020013403847,0.0,0,0
base_turnover_rate,0.5,3,True,200,100.0,91.78922848177193,9.079029389412026,149.6295237711491,20.950078629420613,0.0,0,0
base_turnover_rate,0.5,4,True,200,100.0,91.71366656319668,8.79606806154663,146.00184741038598,20.69123073151393,0.0,0,0
base_turnover_rate,0.5,5,True,200,100.0,91.3250696751925,8.694162961409969,150.1262965022335,21.424281643092534,0.0,0,0
base_turnover_rate,0.5,6,True,200,100.0,91.45391373207775,7.853161927270953,126.4142577532451,21.030880651315613,0.0,0,0
base_turnover_rate,0.5,7,True,200,100.0,91.84577053919573,8.247693445127787,134.25604320665315,20.521363050676857,0.0,0,0
base_turnover_rate,0.5,8,True,200,100.0,91.67421856051425,9.243984589497874,152.6704300106697,20.682870165067552,0.0,0,0
base_turnover_rate,0.5,9,True,200,100.0,91.44917333213317,9.254551826134568,152.2893031655162,20.783687530265293,0.0,0,0
base_turnover_rate,1.0,0,True,200,100.0,91.75747704435885,8.230143829739767,131.4225649234228,21.062955967920683,0.0,0,0
base_turnover_rate,1.0,1,True,200,100.0,91.27910640939979,7.13855000006333,120.98949413658521,21.259165817065607,0.0,0,0
base_turnover_rate,1.0,2,True,200,100.0,90.3813464823883,6.191211662710752,91.96789749084925,20.812907324216972,0.0,0,0
base_turnover_rate,1.0,3,True,200,100.0,90.83823109736319,8.714526574333208,143.8870134633083,20.72307869894235,0.0,0,0
base_turnover_rate,1.0,4,True,200,100.0,90.87939276143585,7.632847371353517,124.47485292733806,21.508830433621583,0.0,0,0
base_turnover_rate,1.0,5,True,200,100.0,91.5524214449558,8.161109511831501,133.6506585801358,20.869089662053746,0.0,0,0
base_turnover_rate,1.0,6,True,200,100.0,91.3130968949918,6.825583832539058,119.260434343841,21.294116782847727,0.0,0,0
base_turnover_rate,1.0,7,True,200,100.0,91.75447284742448,5.718037641480593,117.74756224606143,20.98757323953621,0.0,0,0
base_turnover_rate,1.0,8,True,200,100.0,91.33215048188367,7.343146055448505,124.14942816981421,20.839786057491224,0.0,0,0
base_turnover_rate,1.0,9,True,200,100.0,91.34437878366141,7.217555483776763,112.58310388835535,20.806734211800723,0.0,0,0
base_turnover_rate,2.0,0,True,200,100.0,91.15291041038996,8.060820766578932,131.35165783649015,21.04146884381247,0.0,0,0
base_turnover_rate,2.0,1,True,200,100.0,91.16900165797283,7.179301580704042,114.77795734268241,20.70972589931439,0.0,0,0
base_turnover_rate,2.0,2,True,200,100.0,89.77365420042784,5.7126645807621514,105.462529910417,21.647067451773022,0.0,0,0
base_turnover_rate,2.0,3,True,200,100.0,90.71501481867303,7.409755583155948,117.90862280915096,21.25697278260738,0.0,0,0
base_turnover_rate,2.0,4,True,200,100.0,91.39906018853227,5.663394302243254,95.61425268950167,22.578462912541813,0.0,0,0
base_turnover_rate,2.0,5,True,200,100.0,91.32727058848954,8.066713235922798,125.14656066237357,23.001117738105947,0.0,0,0
base_turnover_rate,2.0,6,True,200,100.0,90.76060627287963,8.988059372046596,147.73894813468226,21.316310095883253,0.0,0,0
base_turnover_rate,2.0,7,True,200,100.0,91.10971511742063,6.241558830179676,96.21164979463867,21.675655396663082,0.0,0,0
base_turnover_rate,2.0,8,True,200,100.0,90.61909907821395,7.854250475849269,124.64322371304164,22.497157118550263,0.0,0,0
base_turnover_rate,2.0,9,True,200,100.0,91.01628906058022,5.891123260451481,103.74639776864115,21.363894574689013,0.0,0,0
base_turnover_rate,4.0,0,True,200,100.0,89.58379549780042,5.3163632901603615,86.91394018041042,31.581436641122764,0.0,0,0
base_turnover_rate,4.0,1,True,200,100.0,90.1524384351782,5.468795862273753,85.91285055797103,27.846065611054218,0.0,0,0
base_turnover_rate,4.0,2,True,200,100.0,89.56068246745929,6.924187850488583,114.10458725616895,22.777267026831602,0.0,0,0
base_turnover_rate,4.0,3,True,200,100.0,90.6755097262105,5.284027296789631,65.23241177403342,42.48630009945757,0.0,0,0
base_turnover_rate,4.0,4,True,200,100.0,90.07665368601656,5.062366140542049,75.6103987013368,37.721094118229786,0.0,0,0
base_turnover_rate,4.0,5,True,200,100.0,89.9111758306386,5.092794703105725,87.6283039549908,25.25584618340814,0.0,0,0
base_turnover_rate,4.0,6,True,200,100.0,89.0130010469558,5.29897907318153,102.81585653645139,22.422504821830987,0.0,0,0
base_turnover_rate,4.0,7,True,200,100.0,90.48047089783391,6.978131147180706,108.34325708038581,26.28815202833388,0.0,0,0
base_turnover_rate,4.0,8,True,200,100.0,90.69561201913058,4.299978402851909,86.69234655985328,30.915402009377452,0.0,0,0
base_turnover_rate,4.0,9,True,200,100.0,90.04981384069976,5.403444958211739,89.73522201649195,22.194501596229046,0.0,0,0
base_turnover_rate,8.0,0,True,200,100.0,86.40319088834981,2.193953146744431,15.61598282878034,105.73754016038302,0.0,0,0
base_turnover_rate,8.0,1,True,200,100.0,88.21951221365335,1.7035646784352,17.27189495038563,106.29357812290421,0.6405479076443004,0,0
base_turnover_rate,8.0,2,True,200,100.0,85.06165589733784,1.9207717263809787,22.8492906383011,107.57953767740256,1.9162804869868242,0,0
base_turnover_rate,8.0,3,False,52,69.72856768868756,60.495128520152655,0.0,8.252629725004008,57.93544213169609,26.007700828840253,0,0
base_turnover_rate,8.0,4,True,200,100.0,90.79758708672315,2.71182955025618,32.503873780693645,106.46235382351864,0.8842591918246497,0,0
base_turnover_rate,8.0,5,True,200,100.0,86.33015921187177,3.2392695057382244,31.263838877747347,92.48879286275671,0.0,0,0
base_turnover_rate,8.0,6,True,200,100.0,85.5563265822031,1.7744699143323919,21.032997545234682,99.96691632646734,1.035185383353277,0,0
base_turnover_rate,8.0,7,True,200,100.0,84.96991626091112,3.025112862952506,37.973891169395564,95.80865898024085,1.785836798742769,0,0
base_turnover_rate,8.0,8,True,200,100.0,86.69438444908417,1.9138406903912881,19.62767301978304,105.64107662624652,1.0264979433116896,0,0
base_turnover_rate,8.0,9,True,200,100.0,88.06355346218243,4.28118187629999,34.58403658389079,99.1794711989202,0.1865381894089415,0,0
dev_to_features,0.005,0,True,200,100.0,90.64465597245666,4.979927172926764,65.5798624334541,25.467100361417955,0.0,0,0
dev_to_features,0.005,1,True,200,100.0,91.78709930582019,6.000107528815744,97.33920079295349,25.733800520833615,0.0,0,0
dev_to_features,0.005,2,True,200,100.0,91.21700808954495,6.0452877424009985,97.83374670609174,25.490152104178527,0.0,0,0
dev_to_features,0.005,3,True,200,100.0,91.78479362436447,5.4027941018705,90.88583121042694,26.008455825650262,0.0,0,0
dev_to_features,0.005,4,True,200,100.0,89.74009231696255,4.740227552977648,80.0047183800353,25.790870319435395,0.0,0,0
dev_to_features,0.005,5,True,200,100.0,91.34023291437597,5.818732952957622,93.14228566768499,25.72352760279876,0.0,0,0
dev_to_features,0.005,6,True,200,100.0,91.36354704462559,6.194952890034711,98.4526582093367,25.605200589304566,0.0,0,0
dev_to_features,0.005,7,True,200,100.0,91.35796131185685,4.601238231714242,69.93705803307324,25.893680332924646,0.0,0,0
dev_to_features,0.005,8,True,200,100.0,90.72077995528532,5.973365232022267,92.58251663596731,25.757060359113822,0.0,0,0
dev_to_features,0.005,9,True,200,100.0,91.35709895561786,5.460771211976548,75.6003393370861,25.53038716545241,0.0,0,0
dev_to_features,0.01,0,True,200,100.0,90.41041523878283,6.103219130827564,108.04551309402339,22.349264304578774,0.0,0,0
dev_to_features,0.01,1,True,200,100.0,91.43560801051986,7.299735440404071,113.76814526870811,21.64503173505323,0.0,0,0
dev_to_features,0.01,2,True,200,100.0,91.33986272759603,7.365231971774358,119.20982373371916,20.663504856973248,0.0,0,0
dev_to_features,0.01,3,True,200,100.0,90.92839410820221,7.73479388408453,123.88704585577788,22.172001582085624,0.0,0,0
dev_to_features,0.01,4,True,200,100.0,90.43909831580164,6.110731107354247,108.06792177702266,21.541531381272378,0.0,0,0
dev_to_features,0.01,5,True,200,100.0,90.94181394175779,6.3594679328253045,108.67437502856085,22.068673342353385,0.0,0,0
dev_to_features,0.01,6,True,200,100.0,91.28892920641448,7.552596515930893,123.90720871844397,21.53001404039683,0.0,0,0
dev_to_features,0.01,7,True,200,100.0,91.02214893063221,7.296797699459438,114.33062454363865,23.491425830039454,0.0,0,0
