config_name,run,survived,survival_time,market_fit,market_share,feature_completeness,technical_debt,bug_count,code_quality,brand_awareness,organizational_alignment,organizational_conflict,cash_runway,revenue,funding_rounds,pivots_used,total_headcount,eng_ratio,sales_ratio,mkt_ratio
Tech-Heavy,1,False,14.0,53.15420598446499,0.0,17.35579703910419,20.47472919241706,8.102181861511758,70.72226311888431,44.043180325608965,100.0,0.0,-3.143450412910358,3.3905954743652775,0,0,25,0.8,0.08,0.04
Tech-Heavy,2,False,13.0,52.20358458306877,0.0,16.536170462816134,21.51823989401352,8.567285163799337,70.57101876431312,34.823998519112145,100.0,0.0,-0.9159070307645027,3.158174833422963,0,0,25,0.8,0.08,0.04
Tech-Heavy,3,False,16.0,54.01822668495851,0.0,18.008958158221677,22.26607364780295,9.106655896878308,70.30927176724616,53.16825561202868,100.0,0.0,-2.137614420045674,3.7417650728409506,0,0,25,0.8,0.08,0.04
Tech-Heavy,4,False,14.0,53.282155702176965,0.0,17.42467488690344,20.172704265230127,7.952721404648449,70.76952984928062,40.81791534601612,100.0,0.0,-1.8372567291859792,3.4259088505928736,0,0,25,0.8,0.08,0.04
Tech-Heavy,5,False,14.0,52.75421410627241,0.0,17.101943862901557,21.468431898828037,8.598758825352514,70.53632360595779,29.31777780155088,94.57600000000001,0.0,-0.4741828011649494,3.272425607025166,0,0,25,0.8,0.08,0.04
Tech-Heavy,6,False,14.0,52.718934349552406,0.0,17.532878376702957,19.802484276342422,7.7834873324633005,70.84279058227453,33.096150258942195,85.95000000000002,0.0,-5.452513708904665,3.4252693328006165,0,0,25,0.8,0.08,0.04
Tech-Heavy,7,False,14.0,52.82119931228576,0.0,17.125943459961547,21.707276278087985,8.757867236597647,70.55475177504952,27.20036089097923,100.0,0.0,-2.0721824773956143,3.264065090778736,0,0,25,0.8,0.08,0.04
Tech-Heavy,8,False,15.0,53.16331094485321,0.0,17.207322905334642,24.131464762375504,10.078586777601586,70.16290748861022,30.620549836220228,100.0,0.0,-2.7955593392980145,3.147839726593462,0,0,25,0.8,0.08,0.04
Tech-Heavy,9,False,15.0,53.4861316214789,0.0,17.599916658489608,21.65575898414179,8.740172621695757,70.45557634067038,33.51947520717997,82.44000000000001,0.0,-1.6468655090638675,3.375368361239163,0,0,25,0.8,0.08,0.04
Tech-Heavy,10,False,15.0,53.38198421248146,0.0,17.769427162290157,21.063784749721247,8.455680829310113,70.57680983345136,36.55738498639305,100.0,0.0,-5.229257893989251,3.427047425087383,0,0,25,0.8,0.08,0.04
