strategy_name,run,survived,survival_time,market_fit,market_share,feature_completeness,technical_debt,bug_count,code_quality,brand_awareness,organizational_alignment,organizational_conflict,cash_runway,revenue,funding_rounds,pivots_used,sustainability_index,velocity,debt_accumulation_rate
Move Fast Break Things,1,True,,100.0,6.639552010888057,54.02511246453738,112.95668719211004,0.0,0.0,99.99999999985839,100.0,0.0,2365.5720290177824,45.06362056316793,0,0,0.2611299384236699,0.2701255623226869,0.4068433972945806
Move Fast Break Things,2,True,,100.0,6.533258040382056,62.50810924175422,108.07863490526036,0.0,0.0,99.9999999999059,100.0,0.0,2557.8918657255813,45.947067432893355,0,0,0.2757640952842189,0.3125405462087711,0.41226660983038854
Move Fast Break Things,3,True,,100.0,5.7696536711465205,61.62250952764007,108.37448896253261,0.0,0.0,99.99999999993354,100.0,0.0,2444.5428560594723,41.77720866722784,0,0,0.2748765331124022,0.30811254763820034,0.411548734485241
Move Fast Break Things,4,True,,100.0,5.345810149363599,54.02171495691775,112.45019968953117,0.0,0.0,99.99999999988249,100.0,0.0,1865.7271163441449,42.143937791489265,0,0,0.2626494009314065,0.2701085747845887,0.41522374933331513
Move Fast Break Things,5,True,,100.0,6.969044322035905,61.75988555202422,108.43068429181021,0.0,0.0,99.99999999991867,100.0,0.0,2338.367456841677,52.22055243623279,0,0,0.27470794712456936,0.3087994277601211,0.41076038536892784
Move Fast Break Things,6,True,,100.0,6.411705054229961,62.09436949688179,108.0463547821865,0.0,0.0,99.99999999998585,100.0,0.0,2461.2829154763385,41.764465179335524,0,0,0.2758609356534405,0.3104718474844089,0.41337326310082134
Move Fast Break Things,7,True,,100.0,6.187289697505386,60.01686505931259,108.76465776866618,0.0,0.0,99.99999999876576,100.0,0.0,1949.176386147812,46.382579324562016,0,0,0.27370602669400146,0.300084325296563,0.4126568271142699
Move Fast Break Things,8,True,,100.0,4.599834844917831,58.41701962645221,109.38599991590011,0.0,0.0,99.99999999868845,100.0,0.0,2151.929086111401,31.286592602946808,0,0,0.27184200025229965,0.292085098132261,0.4119457885110609
Move Fast Break Things,9,True,,100.0,5.646339389944214,59.76612829194449,108.94856631706628,0.0,0.0,99.99999999998731,100.0,0.0,1666.1166451275164,41.883022029382786,0,0,0.2731543010488011,0.29883064145972243,0.4116591107969383
Move Fast Break Things,10,True,,100.0,4.3068589067444565,55.975229786255326,111.8043210272163,0.0,0.0,99.99999999980754,100.0,0.0,3161.783110551396,35.40524503856064,0,0,0.26458703691835106,0.27987614893127666,0.4199767010447298
Move Fast Break Things,11,True,,100.0,4.654265253005522,49.078577761680656,115.34378118873946,0.3507071051157522,0.0,99.99999999948629,100.0,0.0,1103.221144864324,39.98331495331592,0,0,0.25291653511843437,0.24539288880840326,0.41003742520960107
Move Fast Break Things,12,True,,100.0,4.784387894685864,60.69868867582508,108.87730824984173,0.0,0.0,99.99999999995956,100.0,0.0,2620.502241123252,35.57155316573024,0,0,0.2733680752504748,0.3034934433791254,0.41356960152616173
Move Fast Break Things,13,True,,100.0,5.187913340116783,58.54095704412451,109.83192429915563,0.0,0.0,99.9999999999571,100.0,0.0,2750.7420839858246,38.17120838071091,0,0,0.27050422710253313,0.29270478522062254,0.409060204884444
Move Fast Break Things,14,True,,100.0,5.65108270836641,60.902701087567905,108.63523812112903,0.0,0.0,99.99999999976548,100.0,0.0,2907.270391503784,46.464414609139574,0,0,0.2740942856366129,0.3045135054378395,0.4123133105991506
Move Fast Break Things,15,True,,100.0,6.681895869270754,57.26235352323295,110.19598373399933,0.0,0.0,99.99999999990031,100.0,0.0,1854.1252901407588,43.54277999918762,0,0,0.269412048798002,0.2863117676161648,0.4061223048556491
Move Fast Break Things,16,True,,100.0,4.500139021671742,56.636308050334684,110.68036264141762,0.0,0.0,99.99999999988312,100.0,0.0,1699.1136147333914,36.620785436686866,0,0,0.2679589120757472,0.2831815402516734,0.4121069880598721
Move Fast Break Things,17,True,,100.0,5.288316226612394,51.347662489449874,113.66263112391952,0.18612222752368457,0.0,99.99999999993209,100.0,0.0,1837.0627082651054,36.7677389607975,0,0,0.25845373994567034,0.2567383124472494,0.4024640645335611
Move Fast Break Things,18,True,,100.0,6.170226506254575,57.46091126388575,109.90999080268017,0.0,0.0,99.99999999994249,100.0,0.0,1634.8363525270988,42.60646211620456,0,0,0.2702700275919595,0.28730455631942875,0.40873476110231727
Move Fast Break Things,19,True,,100.0,5.871400258308549,57.93283039950634,110.03183356807816,0.0,0.0,99.99999999995448,100.0,0.0,1925.1619152465516,36.867973516686455,0,0,0.26990449929576554,0.2896641519975317,0.4079020464951225
Move Fast Break Things,20,True,,100.0,5.991613100061574,58.13031104957791,109.54527463061815,0.0,0.0,99.99999999994763,100.0,0.0,1488.0076289911005,40.976994018683044,0,0,0.27136417610814556,0.29065155524788955,0.41670158239423133
Balanced Pragmatic,1,True,,100.0,6.475955414898333,135.96165782718768,19.2999368132541,0.0,61.83007744489621,99.99999999989191,100.0,0.0,12152.241975423485,100.2252007563764,0,0,0.7894204993398225,0.6798082891359384,-0.0033719292848601494
Balanced Pragmatic,2,True,,100.0,6.556911286390218,134.72131101597338,19.50206232540426,0.0,60.55578404890756,99.99999999978188,100.0,0.0,11421.116028959352,115.25333565156531,0,0,0.7837169492194174,0.6736065550798669,-0.006961357184147382
Balanced Pragmatic,3,True,,100.0,6.395257150278485,133.05191056225715,19.805119762474224,0.0,59.1019650916315,99.99999999996291,100.0,0.0,11923.98014960414,120.65794935048949,0,0,0.7769925010791033,0.6652595528112858,-0.008800766450843512
