config_name,num_engineers,num_sales,num_marketing,num_hr,num_mgmt,total_headcount,run_id,survived,survival_duration,final_market_fit,final_market_share,final_revenue,final_cash_runway,final_tech_debt,final_bugs,avg_market_fit,avg_revenue,avg_team_morale,max_market_share,pivots_used,funding_rounds,market_fit_50_step,market_share_5_step,revenue_per_employee,market_share_per_employee
XLarge Eng Team,20,5,3,1,1,30,3,True,200,100.0,7.077712245043254,125.34720911564656,13599.165416425212,21.17201951458655,0.0,91.25935772068551,77.4958270821261,83.15988337831855,8.31901790425746,0,0,0,97,4.178240303854886,0.2359237415014418
XLarge Eng Team,20,5,3,1,1,30,4,True,200,100.0,5.731900590563821,116.740087195885,15318.241331760722,20.72046790343403,0.0,90.8789715682917,86.09120665880364,88.67447331435511,8.888654173846362,0,0,0,88,3.891336239862833,0.19106335301879404
XLarge Eng Team,20,5,3,1,1,30,5,True,200,100.0,6.735033050073428,123.94413598342851,12632.392990693153,21.619816826722257,0.0,91.39189238097943,72.66196495346577,84.50566633268622,7.106375151239354,0,0,0,92,4.131471199447617,0.22450110166911424
XLarge Eng Team,20,5,3,1,1,30,6,True,200,100.0,5.538433820505478,89.00291161413261,13348.8367570883,23.11417316693227,0.0,90.79515401047097,76.24418378544152,80.08513122076576,8.932599959983536,0,0,0,94,2.966763720471087,0.18461446068351595
XLarge Eng Team,20,5,3,1,1,30,7,True,200,100.0,6.599483016124343,132.93705023117005,13016.254373846245,21.459607652042045,0.0,90.96745423859895,74.58127186923117,85.44005717509852,7.779320384431143,0,0,0,94,4.431235007705668,0.21998276720414475
XLarge Eng Team,20,5,3,1,1,30,8,True,200,100.0,6.660394628567299,107.12894634635953,14095.50602211695,21.02808466573675,0.0,90.29227172606006,79.97753011058472,82.24317900553018,8.052259955447765,0,0,0,101,3.570964878211984,0.22201315428557664
XLarge Eng Team,20,5,3,1,1,30,9,True,200,100.0,5.881955873447099,103.28061088917053,12464.066899369405,20.991995057001475,0.0,91.27286701342815,71.82033449684702,84.14458647677603,7.977721775024982,0,0,0,106,3.4426870296390177,0.19606519578156997
XLarge Eng Team,20,5,3,1,1,30,10,True,200,100.0,6.800983924787018,136.84004775475424,13224.38667618967,20.698323194786738,0.0,90.6602484567939,75.62193338094833,86.41426679939492,7.972184834226995,0,0,0,109,4.561334925158475,0.22669946415956727
XLarge Eng Team,20,5,3,1,1,30,11,True,200,100.0,7.662351692346977,122.33341566159982,13199.47022946703,21.659916846838904,0.0,91.07025742407437,75.49735114733512,83.60480649680908,7.944938709297011,0,0,0,97,4.077780522053327,0.25541172307823257
XLarge Eng Team,20,5,3,1,1,30,12,True,200,100.0,7.704403368869154,127.21960894682896,12803.44259430419,21.1965782086211,0.0,91.03076677361474,73.5172129715209,85.64043720728037,7.731309030432744,0,0,0,95,4.240653631560965,0.2568134456289718
