Market Fit,Feature Completeness,Technical Debt,Bug Count,Code Quality,Market Share,Brand Awareness,Organizational Alignment,Organizational Conflict,Cash Runway,Revenue,Team Morale,Customer Satisfaction,Engineers,Sales,Marketing,config_name,run
50.242,10.543231568928912,20.190767515923564,5.414571974522293,70.10852383757961,0.0,13.555,57.22,7.747882051058381,93.71171171171171,3.7117117117117115,65.07278921089193,72.41371401273885,20,2,1,Tech-Heavy,1
50.49339879,11.074968414977768,20.289880678316447,5.7675256820568865,70.21598032296822,0.0,16.756105559708562,64.455,5.475201223832833,87.09943511457277,3.3877234028610492,66.58893089192873,72.36293655397156,20,2,1,Tech-Heavy,1
50.75209511300605,11.59748308576376,20.252412743184053,6.033073664535378,70.32434421134211,0.0,19.679875282186146,71.705,3.1816201975022222,80.24636045763378,3.1469253430610156,66.01068898971909,72.35951072423534,20,2,1,Tech-Heavy,1
51.012137675536536,12.113970374237466,20.19056504754812,6.280111230692247,70.43388154679734,0.0,22.386705068554846,78.97,0.8670275351668546,73.22508979832803,2.9787293406942434,65.40332904990382,72.36601322242214,20,2,1,Tech-Heavy,1
51.27252517737865,12.625069532361264,20.11326168971779,6.514326701842858,70.54480303373963,0.0,24.92522306950162,86.25,0.0,66.10931722219824,2.884227423870218,66.90206998829132,72.37909923776789,20,2,1,Tech-Heavy,1
51.533256316594866,13.131210756460908,19.94537292456969,6.690871341114306,70.65845295263308,0.0,27.33542593381056,93.545,0.0,59.003652473657965,2.8943352514597236,69.1989103484899,72.42119248774029,20,2,1,Tech-Heavy,1
51.794329789529506,13.634444043930326,19.75071345564649,6.849034352494617,70.77516954872661,0.0,29.650962796766358,100.0,0.0,51.93352468394025,2.9298722102822867,68.07653731821917,72.47264771851745,20,2,1,Tech-Heavy,1
51.986744290815196,14.135389850577234,19.554149370861793,7.004048398983918,70.89496158048267,0.0,31.89794658676692,100.0,0.0,44.75210609738237,2.8185814134421143,69.62123339878619,72.49134794591563,20,2,1,Tech-Heavy,1
52.18594885837943,14.634178689181024,19.355880907781778,7.156244540024958,71.01784126440461,0.0,34.0782767496596,100.0,0.0,37.660339707750445,2.9082336103680797,70.41161586337093,72.51485215917724,20,2,1,Tech-Heavy,1
52.39226499619938,15.192955095912565,19.589291242546572,7.357675665176245,70.96399034555168,0.0,36.19380182471127,100.0,0.0,30.65751504690141,2.997175339150964,72.24451287981348,72.51729466551157,20,2,1,Tech-Heavy,1
52.606030297694346,15.744246351085343,19.817749160497915,7.552817220974445,70.90745542045151,0.0,38.24632471186578,100.0,0.0,23.73922150118295,3.08170645428154,72.05170061753824,72.52660653835994,20,2,1,Tech-Heavy,1
52.82759925028782,16.28830883061163,20.0413687252095,7.741814068158163,70.84829195486662,0.0,40.2375992479129,100.0,0.0,16.903226050592046,3.164004549409096,71.92867020413772,72.54289259106483,20,2,1,Tech-Heavy,1
52.98834408019754,16.82538982460636,20.26025520099491,7.92479989240563,70.7865551554839,0.0,42.16933175154562,100.0,0.0,10.147513044604997,3.2442869940129504,73.87605373920688,72.53177209389595,20,2,1,Tech-Heavy,1
53.15420598446499,17.35579703910419,20.47472919241706,8.102181861511758,70.72226311888431,0.0,44.043180325608965,100.0,0.0,3.465954112724365,3.3184410681193675,76.21500147910258,72.52601206147662,20,2,1,Tech-Heavy,1
50.147,10.543231568928912,20.6391576433121,5.683606050955413,70.10179798566878,0.0,12.745000000000001,55.72,6.503253929535218,92.95495495495496,2.954954954954955,63.906789777631204,72.2316969745223,20,2,1,Tech-Heavy,2
50.298820264999996,11.065019938445655,21.092312642046338,6.244342075737375,70.19751183872535,0.0,15.229360968361842,61.446,2.991120268123902,85.66797098493413,2.7130160299791775,65.42147025147959,72.02723909463131,20,2,1,Tech-Heavy,2
50.455680735898675,11.570105328499366,21.378821296027255,6.6963040477668,70.28948415348488,0.0,17.503304435106763,67.178,0.0,78.28681663494885,2.6188456500147153,67.8884899840675,71.87968834406594,20,2,1,Tech-Heavy,2
50.61781236339367,12.06256653059217,21.463653841844287,7.020506170921482,70.38061146005566,0.0,19.60725345348761,72.916,0.0,70.84463959633744,2.5578229613885983,68.78150306166728,71.7986530962361,20,2,1,Tech-Heavy,2
50.785457658576846,12.547018625519948,21.425078474803392,7.266123086410375,70.47260476801505,0.0,21.574254598600795,78.66,0.0,63.367104406350045,2.522464810012598,70.14639461057189,71.75966728608324,20,2,1,Tech-Heavy,2
50.95887127105923,13.026231936797204,21.247428689709604,7.425069796597597,70.56746697176791,0.0,23.431761185418125,84.41,0.0,55.90262700442115,2.5355225980711014,70.43192325918659,71.76690073723081,20,2,1,Tech-Heavy,2
51.13832059600214,13.503211848765599,21.042104421497772,7.565600339820704,70.66552368999291,0.0,25.202970550614552,90.166,0.0,48.52144317678506,2.618816172363914,69.68002832973897,71.78636012809072,20,2,1,Tech-Heavy,2
51.324086411499785,13.978563082181669,20.83533280746872,7.703737937959338,70.76677847214948,0.0,26.907840464002188,95.928,0.0,41.224004234467074,2.702561057682011,68.78550228834331,71.81017423677022,20,2,1,Tech-Heavy,2
51.51646354783097,14.452331642836073,20.62950645130751,7.840941812547342,70.87121564194413,0.0,28.563877597267503,100.0,0.0,34.00974503644857,2.785740801981498,67.61291502335469,71.83776086764182,20,2,1,Tech-Heavy,2
51.67981568534083,14.98353574794291,20.873852083887126,8.040286099250482,70.80003243371074,0.0,30.182641645986223,100.0,0.0,26.87805514111213,2.8683101046635597,68.6132076790039,71.81976479304518,20,2,1,Tech-Heavy,2
