,survived,survived,survival_time,survival_time,feature_completeness,feature_completeness,feature_completeness,technical_debt,technical_debt,technical_debt,technical_debt,bug_count,bug_count,bug_count,bug_count,code_quality,code_quality,code_quality,code_quality,market_fit,market_fit,market_share,market_share,market_share,revenue,revenue,revenue,cash_runway,cash_runway,sustainability_index,sustainability_index,velocity,velocity,debt_accumulation_rate,debt_accumulation_rate
,mean,sum,mean,std,mean,std,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,mean,std,max,mean,std,max,mean,std,mean,std,mean,std,mean,std
strategy_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balanced Pragmatic,1.0,20,,,133.87852167369743,3.5037600871736907,137.83329774685907,19.69538706929487,0.6027299742222366,18.987511083335885,21.07277665772027,0.0,0.0,0.0,0.0,59.87590788407336,3.196511772508176,52.27791231007603,63.493291743719105,100.0,0.0,7.160857764778863,0.9640668276815338,8.752475352864124,118.80275527913469,18.43590301926267,146.45236552437242,12067.287330526877,769.5510671761181,0.7804174703284088,0.014576342248953456,0.6693926083684872,0.017518800435868436,-0.00641602615797258,0.006200140842253162
Extreme Quality,1.0,20,,,96.24287080946645,0.03699189007609907,96.29580849355304,0.0,0.0,0.0,0.0,0.33634877531001445,7.182643485033197e-05,0.3362483218655301,0.33650587921954983,100.0,0.0,100.0,100.0,100.0,0.0,6.207423575423095,0.8574059559911238,8.151511056408072,126.69007217329192,16.317052797767897,162.60571633739474,13003.949024666987,642.4498886705982,0.9989909536740699,2.1547930456790251e-07,0.48121435404733226,0.0001849594503805097,-0.02032203850732595,0.0010686328790217947
Move Fast Break Things,1.0,20,,,57.90991226744528,3.6261726293506005,62.50810924175422,110.19774616059291,2.0349614033206262,108.0463547821865,115.34378118873946,0.026841466631971837,0.08682337501713171,0.0,0.3507071051157522,0.0,0.0,0.0,0.0,100.0,0.0,5.659529313275607,0.8042154138384002,6.969044322035905,41.07237581114708,4.900358620337811,52.22055243623279,2139.121641939216,523.3005490564768,0.26932623711832526,0.006297473340238318,0.2895495613372264,0.018130863146753003,0.41126334282701926,0.003866958433436384
Quality First,1.0,20,,,139.88972247410825,0.19961075881865045,140.20005130114015,0.0,0.0,0.0,0.0,0.8016176585162885,0.0007227014147338598,0.8004959267358706,0.8029568161153218,100.0,0.0,100.0,100.0,100.0,0.0,6.4353118313018385,0.8994150045749545,8.149277666450482,142.19825381186524,21.12435507951659,178.32612692348204,15354.404981626005,616.3076319673773,0.9975951470244511,2.168104244229711e-06,0.6994486123705411,0.00099805379409326,-0.0551402527171625,0.0025712581667193066
Technical Debt Spiral,0.0,0,27.75,5.8207885159459645,23.160095158954444,1.8988968918351787,27.751589620174776,68.13957427928138,6.493098623505374,61.0161644961091,85.93209092513627,37.41749585584622,3.829290354629657,33.10050584644048,48.167979459121575,54.12081810542736,5.267314081289813,38.25498678368357,58.87362048189089,68.59642293127345,4.952958493658513,0.0,0.0,0.0,4.0021587167269725,0.9784274540380565,6.540739121515159,-2.8404536668839784,1.6128959050155367,0.49981206201632666,0.051525434732117965,0.0,0.0,1.445333755262872,0.13443402483435032
