,survived,survived,survival_time,survival_time,market_fit,market_fit,market_share,market_share,market_share,feature_completeness,feature_completeness,technical_debt,technical_debt,bug_count,bug_count,code_quality,code_quality,revenue,revenue,revenue,cash_runway,cash_runway,organizational_alignment,organizational_alignment,organizational_conflict,organizational_conflict
,mean,sum,mean,std,mean,std,mean,std,max,mean,std,mean,std,mean,std,mean,std,mean,std,max,mean,std,mean,std,mean,std
config_name,,,,,,,,,,,,,,,,,,,,,,,,,,
Balanced,1.0,20,,,100.0,0.0,12.795781758276735,1.0983762399586434,14.336925571364544,117.75329795956077,2.873264654160447,20.85585379471583,0.5690189724267677,0.0,0.0,61.42296539952089,3.138869502059511,234.201412258127,26.098810478124378,288.2498455428823,27098.774377217553,1605.1721902319669,100.0,0.0,0.0,0.0
Marketing-Heavy,1.0,20,,,100.0,0.0,7.519203243511733,0.8821000453256509,9.119417615749299,116.94573708383064,4.428172772994002,21.014398370130245,0.9209747360211812,0.0,0.0,60.29593292622197,4.806806113436645,120.29683267167388,18.109315969544358,154.6541204334911,12175.039086916318,998.7385239361587,100.0,0.0,0.0,0.0
Minimal,0.35,7,19.846153846153847,2.9677756498246812,72.29815990634887,20.876678873753864,1.6289941820751541,2.3040141548900284,5.215284525729807,48.652827640331324,40.87873002440414,24.21491527239853,2.619826865380994,6.856288670495674,5.290780233956973,62.44783612430638,11.49649551110884,29.04466917404078,34.474879993058394,86.97376497715418,1383.3777351797862,1951.735399213399,99.54817500000001,1.7894395423310197,0.0,0.0
Sales-Heavy,1.0,20,,,100.0,0.0,17.699077280339527,1.579050264289334,20.18161023593499,116.9849173395831,4.089528425592904,21.215380185925337,0.8556809054368608,0.0,0.0,60.200705655698165,4.33255567879064,341.4146208069495,37.96490922308923,405.6017532796355,41992.816221797875,1801.5033662979713,100.0,0.0,0.0,0.0
Tech-Heavy,0.0,0,14.75,1.0699237552766379,53.18821072474833,0.5967240684181225,0.0,0.0,0.0,17.60950190569077,0.6061008379224286,21.22970778113492,0.937314663818577,8.536624122751496,0.491554345893594,70.5704478982747,0.15983867475954516,3.427798946856437,0.19514261175837597,3.772068321332179,-2.9973351251673526,1.537609550498753,97.8443,5.022064087079814,0.0,0.0
