Market Fit,Feature Completeness,Technical Debt,Bug Count,Code Quality,Market Share,Brand Awareness,Organizational Alignment,Organizational Conflict,Cash Runway,Revenue,Team Morale,Customer Satisfaction,Engineers,Sales,Marketing,strategy_name,run
50.541,11.086463137857823,21.633627388535032,6.143552229299363,69.92232679936306,0.0,18.865000000000002,55.68,7.954845156835849,103.62162162162161,13.621621621621621,67.9055748929662,72.19872388535032,10,5,3,Move Fast Break Things,1
51.108188551666665,12.091464960779069,22.99298331229135,7.106372141190223,69.82507173179684,0.0,26.590187797483907,60.565,5.898038350131057,106.33128303922831,12.70966141760669,65.25317320987443,72.00090820523822,10,5,3,Move Fast Break Things,1
51.702890250616164,13.030654418863143,24.414250390102627,8.093222967014714,69.70715344698841,0.0,33.40045509482034,65.444,3.829569231732961,108.32279208649553,11.991509047267222,65.8165312522478,71.80483364180073,10,5,3,Move Fast Break Things,1
52.32650107414187,13.90500467736674,25.630470548926866,8.944117397159198,69.57163827201201,0.0,39.66305234396197,70.31700000000001,1.748966018050278,109.7041464285143,11.381354342018783,66.41700466621779,71.69119183849133,10,5,3,Move Fast Break Things,1
52.97178601121318,14.726091832958176,26.64350053321723,9.662127821342652,69.42147614233329,0.0,45.27766232455311,75.18400000000001,0.0,110.60083902009127,10.896692591576967,64.89472685195406,71.65482909493527,10,5,3,Move Fast Break Things,1
53.63977402258228,15.504218888917741,27.96946880215387,10.558624087104844,69.25188834508096,0.0,50.518992378209745,80.04500000000002,0.0,111.14077460632146,10.539935586230191,61.98367300641789,71.54057496773872,10,5,3,Move Fast Break Things,1
54.34055419982118,16.23081640060553,29.824293801183476,11.761437328765007,69.05502802595109,0.0,55.280668104523784,84.9,0.0,111.3201367628784,10.179362156556943,64.15135560649077,71.28955843552808,10,5,3,Move Fast Break Things,1
55.081072529095756,16.892440924879963,31.441006105060207,12.80763326002642,68.83460450692841,0.0,59.77713156897104,89.749,0.0,111.07982396886095,9.759687205982548,65.77025599555225,71.13671963453467,10,5,3,Move Fast Break Things,1
55.8383325309007,17.50166729474386,32.82013336622637,13.69944167865509,68.59408590333857,0.0,63.90126278010603,94.59199999999998,0.0,110.52712494523003,9.447300976369075,67.63062576082739,71.0694454261228,10,5,3,Move Fast Break Things,1
56.60469695777785,18.140042669540243,34.37692998719065,14.568418244297131,68.2353064804341,0.0,67.82568650949622,99.42899999999997,0.0,109.77050524072638,9.24338029549635,70.13719531537393,71.01813935674036,10,5,3,Move Fast Break Things,1
57.38950327599244,18.732914925511754,35.65644170613973,15.262092268454277,67.85886551322126,0.0,71.44460458341158,100.0,0.0,108.88060038619051,9.110095145464122,72.51552243814784,71.06370550376909,10,5,3,Move Fast Break Things,1
58.181155578251634,19.29095032654951,36.65508678342855,15.779696503790731,67.4687391219333,0.0,74.87744649243915,100.0,0.0,107.91214801856921,9.031547632378697,74.78292463138895,71.20072953723044,10,5,3,Move Fast Break Things,1
58.973155578251635,19.823384011250262,37.6274539339168,16.27526797369649,67.0651013964195,0.0,78.00436281450362,100.0,0.0,106.91850942338809,9.006361404818882,78.09743897891144,71.34894380227757,10,5,3,Move Fast Break Things,1
59.76515557825164,20.332113597616274,38.58498526918438,16.755829089378988,66.64814793489224,0.0,80.92998057523272,100.0,0.0,105.89608488860434,8.977575465216251,77.50098825766266,71.50466324443633,10,5,3,Move Fast Break Things,1
60.55715557825164,20.818623616673683,39.52792209713491,17.221623997658345,66.21808062146224,0.0,83.55572565957887,100.0,0.0,104.84162065538816,8.945535766783825,76.87368818859079,71.66776579029664,10,5,3,Move Fast Break Things,1
61.28905557825164,21.28429229785773,40.45648232173228,17.67287316607451,65.7750997237235,0.0,85.971337946999,100.0,0.0,103.92801290549944,9.08639225011129,74.76468028269458,71.80809120608856,10,5,3,Move Fast Break Things,1
62.01205557825164,21.730500595721896,41.37129560815497,18.110213667631584,65.31936699879486,0.0,88.05390526106737,100.0,0.0,103.36842329224143,9.440410386741982,76.1879222753273,71.95092095531002,10,5,3,Move Fast Break Things,1
62.74457557825164,22.158438928295652,42.27262234168957,18.53390895097247,64.85106636483178,0.0,89.82790032979887,100.0,0.0,103.24125845617819,9.87283516393675,74.76074087151636,72.10533331363959,10,5,3,Move Fast Break Things,1
63.48680597825164,22.569182570256643,43.160569100177234,18.944066847795288,64.37039099831823,0.0,91.33845713082374,100.0,0.0,103.54568540758812,10.30442695140994,76.62971845877756,72.27136956522818,10,5,3,Move Fast Break Things,1
64.23894098625163,22.963732666521388,44.03521938844981,19.340771845341656,63.87753445184872,0.0,92.62469624689642,100.0,0.0,104.2813895691661,10.735704161577964,76.58570967963199,72.44908457045499,10,5,3,Move Fast Break Things,1
65.00117869441164,23.343021919914037,44.89663451128196,19.72408596961889,63.37269092550899,0.0,93.71992885423231,100.0,0.0,105.4486644242674,11.167274855101306,74.97769594583075,72.63854636239637,10,5,3,Move Fast Break Things,1
65.77372115673484,23.707919833398535,45.85805616837321,20.161970636712965,62.854357510496655,0.0,94.6525194193788,100.0,0.0,107.04847875097045,11.599814326703042,76.82059629232783,72.80587526001094,10,5,3,Move Fast Break Things,1
66.5567744683045,24.057371751519526,46.692133314254896,20.517625160781503,62.324511241661774,0.0,95.44662028560106,100.0,0.0,109.04360652488279,11.995127773912339,78.66683760566562,73.0195746537615,10,5,3,Move Fast Break Things,1
67.3487744683045,24.39409416045228,47.51306022343542,20.859974739481796,61.78327932119162,0.0,96.1227971731893,100.0,0.0,111.47343535141049,12.429828826527702,76.7286772070231,73.24439986441135,10,5,3,Move Fast Break Things,1
